source_file,source_url,script_src
Capabilities.html,/Capabilities,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
Capabilities.html,/Capabilities,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
Capabilities.html,/Capabilities,shared.js
Our_Focus.html,/Our_Focus,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
Our_Focus.html,/Our_Focus,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
Our_Focus.html,/Our_Focus,shared.js
Our_Focus.html,/Our_Focus,shared.js
Solutions.html,/Solutions,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
Solutions.html,/Solutions,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
Solutions.html,/Solutions,shared.js
about/who-we-are/index.html,/about/who-we-are,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
about/who-we-are/index.html,/about/who-we-are,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
about/who-we-are/index.html,/about/who-we-are,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
about/who-we-are/index.html,/about/who-we-are,shared.js
about/who-we-are/index.html,/about/who-we-are,shared.js
about-leadership/index.html,/about-leadership,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
about-leadership/index.html,/about-leadership,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
about-leadership/index.html,/about-leadership,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
about-leadership/index.html,/about-leadership,shared.js
about-leadership/index.html,/about-leadership,shared.js
about.html,/about,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
about.html,/about,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
about.html,/about,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
about.html,/about,shared.js
about.html,/about,shared.js
ai-adoption.html,/ai-adoption,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
ai-adoption.html,/ai-adoption,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
ai-adoption.html,/ai-adoption,shared.js
ai-adoption.html,/ai-adoption,shared.js
ai-and-data.html,/ai-and-data,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
ai-and-data.html,/ai-and-data,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
ai-and-data.html,/ai-and-data,shared.js
ai-first-digital-engineering.html,/ai-first-digital-engineering,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
ai-first-digital-engineering.html,/ai-first-digital-engineering,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
ai-first-digital-engineering.html,/ai-first-digital-engineering,shared.js
ai-first-digital-engineering.html,/ai-first-digital-engineering,shared.js
ai-innovation.html,/ai-innovation,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
ai-innovation.html,/ai-innovation,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
ai-innovation.html,/ai-innovation,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
ai-innovation.html,/ai-innovation,shared.js
ai-innovation.html,/ai-innovation,shared.js
ai-led-engineering.html,/ai-led-engineering,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
ai-led-engineering.html,/ai-led-engineering,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
ai-led-engineering.html,/ai-led-engineering,shared.js
ai-upskilling.html,/ai-upskilling,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
ai-upskilling.html,/ai-upskilling,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
ai-upskilling.html,/ai-upskilling,shared.js
banking-financial-services/index.html,/banking-financial-services,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
banking-financial-services/index.html,/banking-financial-services,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
banking-financial-services/index.html,/banking-financial-services,shared.js
banking-financial-services/index.html,/banking-financial-services,shared.js
banking-financial-services.html,/banking-financial-services,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
banking-financial-services.html,/banking-financial-services,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
banking-financial-services.html,/banking-financial-services,shared.js
banking-financial-services.html,/banking-financial-services,shared.js
capabilities/ai-and-data/index.html,/capabilities/ai-and-data,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
capabilities/ai-and-data/index.html,/capabilities/ai-and-data,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
capabilities/ai-and-data/index.html,/capabilities/ai-and-data,shared.js
capabilities/ai-led-engineering/index.html,/capabilities/ai-led-engineering,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
capabilities/ai-led-engineering/index.html,/capabilities/ai-led-engineering,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
capabilities/ai-led-engineering/index.html,/capabilities/ai-led-engineering,shared.js
capabilities/cloud-and-infrastructure-engineering/index.html,/capabilities/cloud-and-infrastructure-engineering,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
capabilities/cloud-and-infrastructure-engineering/index.html,/capabilities/cloud-and-infrastructure-engineering,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
capabilities/cloud-and-infrastructure-engineering/index.html,/capabilities/cloud-and-infrastructure-engineering,shared.js
capabilities/digital-operations-and-security/index.html,/capabilities/digital-operations-and-security,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
capabilities/digital-operations-and-security/index.html,/capabilities/digital-operations-and-security,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
capabilities/digital-operations-and-security/index.html,/capabilities/digital-operations-and-security,shared.js
capabilities/index.html,/capabilities,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
capabilities/index.html,/capabilities,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
capabilities/index.html,/capabilities,shared.js
capabilities/security-and-governance/index.html,/capabilities/security-and-governance,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
capabilities/security-and-governance/index.html,/capabilities/security-and-governance,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
capabilities/security-and-governance/index.html,/capabilities/security-and-governance,shared.js
celsior-ai-lab/index.html,/celsior-ai-lab,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
celsior-ai-lab/index.html,/celsior-ai-lab,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
celsior-ai-lab/index.html,/celsior-ai-lab,shared.js
celsior-ai-lab/index.html,/celsior-ai-lab,shared.js
celsior-ai-lab.html,/celsior-ai-lab,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
celsior-ai-lab.html,/celsior-ai-lab,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
celsior-ai-lab.html,/celsior-ai-lab,shared.js
celsior-ai-lab.html,/celsior-ai-lab,shared.js
cloud-infrastructure-engineering.html,/cloud-infrastructure-engineering,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
cloud-infrastructure-engineering.html,/cloud-infrastructure-engineering,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
cloud-infrastructure-engineering.html,/cloud-infrastructure-engineering,shared.js
cost-efficiency.html,/cost-efficiency,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
cost-efficiency.html,/cost-efficiency,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
cost-efficiency.html,/cost-efficiency,shared.js
cost-efficiency.html,/cost-efficiency,shared.js
design-lab/index.html,/design-lab,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
design-lab/index.html,/design-lab,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
design-lab/index.html,/design-lab,shared.js
design-lab/index.html,/design-lab,shared.js
design-lab.html,/design-lab,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
design-lab.html,/design-lab,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
design-lab.html,/design-lab,shared.js
design-lab.html,/design-lab,shared.js
digital-experience.html,/digital-experience,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
digital-experience.html,/digital-experience,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
digital-experience.html,/digital-experience,shared.js
digital-experience.html,/digital-experience,shared.js
digital-operations.html,/digital-operations,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
digital-operations.html,/digital-operations,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
digital-operations.html,/digital-operations,shared.js
frameworks-accelerators/index.html,/frameworks-accelerators,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
frameworks-accelerators/index.html,/frameworks-accelerators,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
frameworks-accelerators/index.html,/frameworks-accelerators,shared.js
frameworks-accelerators/index.html,/frameworks-accelerators,shared.js
frameworks-accelerators.html,/frameworks-accelerators,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
frameworks-accelerators.html,/frameworks-accelerators,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
frameworks-accelerators.html,/frameworks-accelerators,shared.js
frameworks-accelerators.html,/frameworks-accelerators,shared.js
gcc-nearshore.html,/gcc-nearshore,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
gcc-nearshore.html,/gcc-nearshore,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
gcc-nearshore.html,/gcc-nearshore,shared.js
hire-train-deploy.html,/hire-train-deploy,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
hire-train-deploy.html,/hire-train-deploy,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
hire-train-deploy.html,/hire-train-deploy,shared.js
how-we-deliver.html,/how-we-deliver,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
how-we-deliver.html,/how-we-deliver,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
how-we-deliver.html,/how-we-deliver,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
how-we-deliver.html,/how-we-deliver,shared.js
how-we-do-it.html,/how-we-do-it,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js
how-we-do-it.html,/how-we-do-it,https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js
