url,file,category,issue
/Capabilities,Capabilities.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645514/12_fqkmxq.png
/Capabilities,Capabilities.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645515/13_otvcxp.png
/Capabilities,Capabilities.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778645514/14_vsqdxw.png
/Capabilities,Capabilities.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/Dynatrace_1_t3ayxc.png
/Capabilities,Capabilities.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/ServiceNow_1_plissc.png
/Capabilities,Capabilities.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Boomi_1_kvrpcd.png
/Capabilities,Capabilities.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/GuideWire_logo_color_1_whi7lu.png
/Capabilities,Capabilities.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/RingCentral_1_zjcj4f.png
/Capabilities,Capabilities.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Informatica_1_gkhjs0.png
/Capabilities,Capabilities.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646704/7_vmwgl8.png
/Capabilities,Capabilities.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646705/8_tdax9f.png
/Capabilities,Capabilities.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778646698/9_kwym5i.png
/Capabilities,Capabilities.html,Accessibility,Image missing alt text: ${d.imgs.p1}
/Capabilities,Capabilities.html,Accessibility,Image missing alt text: ${d.imgs.p2}
/Capabilities,Capabilities.html,Accessibility,Image missing alt text: ${d.imgs.shield}
/Capabilities,Capabilities.html,Accessibility,Image missing alt text: ${d.imgs.dash}
/Our_Focus,Our_Focus.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778616276/9_sg1ssf.png
/Our_Focus,Our_Focus.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778616276/10_vklfrz.png
/Our_Focus,Our_Focus.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778616276/11_ojaddh.png
/Our_Focus,Our_Focus.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778615984/1_rsqe5e.png
/Our_Focus,Our_Focus.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778615985/2_rqynuj.png
/Our_Focus,Our_Focus.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778615983/3_gt3g7i.png
/Our_Focus,Our_Focus.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/Dynatrace_1_t3ayxc.png
/Our_Focus,Our_Focus.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/ServiceNow_1_plissc.png
/Our_Focus,Our_Focus.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Boomi_1_kvrpcd.png
/Our_Focus,Our_Focus.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/GuideWire_logo_color_1_whi7lu.png
/Our_Focus,Our_Focus.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/RingCentral_1_zjcj4f.png
/Our_Focus,Our_Focus.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Informatica_1_gkhjs0.png
/Our_Focus,Our_Focus.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778614980/4_ywqbo9.png
/Our_Focus,Our_Focus.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778614983/5_eokkdp.png
/Our_Focus,Our_Focus.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778614981/6_xp1ryj.png
/Solutions,Solutions.html,SEO,Missing meta description
/Solutions,Solutions.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778577642/e635f926-6c6b-4155-928d-bdf0cb79d91a_y
/Solutions,Solutions.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778579833/5_ohhyvq.png
/Solutions,Solutions.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778579833/6_hfcvls.png
/Solutions,Solutions.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778579832/7_qpjayv.png
/Solutions,Solutions.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778585914/1_hkqc4o.jpg
/Solutions,Solutions.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778585913/2_sniefj.jpg
/Solutions,Solutions.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778585914/3_oi980a.jpg
/Solutions,Solutions.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/Dynatrace_1_t3ayxc.png
/Solutions,Solutions.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/ServiceNow_1_plissc.png
/Solutions,Solutions.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Boomi_1_kvrpcd.png
/Solutions,Solutions.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/GuideWire_logo_color_1_whi7lu.png
/Solutions,Solutions.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/RingCentral_1_zjcj4f.png
/Solutions,Solutions.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/Informatica_1_gkhjs0.png
/Solutions,Solutions.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778587408/1_d2ouxt.jpg
/Solutions,Solutions.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778587414/3_lwxxsk.jpg
/Solutions,Solutions.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1778587408/2_jp1pcn.jpg
/about/who-we-are,about/who-we-are/index.html,SEO,Missing meta description
/about-leadership,about-leadership/index.html,SEO,Missing meta description
/about,about.html,SEO,Missing meta description
/ai-adoption,ai-adoption.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779989036/31_qlbnw3.png
/ai-adoption,ai-adoption.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779989036/32_yii8gx.png
/ai-adoption,ai-adoption.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779989037/33_wm6lv1.png
/ai-adoption,ai-adoption.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779989575/18_bzeen4.png
/ai-adoption,ai-adoption.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779989575/17_ssgwl4.png
/ai-adoption,ai-adoption.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1779989575/16_ya8u5c.png
/ai-adoption,ai-adoption.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869311/Dynatrace_1_t3ayxc.png
/ai-adoption,ai-adoption.html,Accessibility,Image missing alt text: https://res.cloudinary.com/dden4hawr/image/upload/v1777869312/ServiceNow_1_plissc.png
