source_file,source_url,label,href,class
Capabilities.html,/Capabilities,Read more,#,acc-readmore
Capabilities.html,/Capabilities,Read more,#,acc-readmore
Capabilities.html,/Capabilities,Read more,#,acc-readmore
Capabilities.html,/Capabilities,"AI LAB 
           Application &amp; Platform Engineering",#,
Capabilities.html,/Capabilities,"COES 
           Microservices &amp; Modern Architectures",#,
Capabilities.html,/Capabilities,"ACCELERATORS 
           Cloud Engineering &amp; Transformation",#,
Capabilities.html,/Capabilities,"INTELLIGENT OPS 
           Cloud Engineering &amp; Transformation",#,
Capabilities.html,/Capabilities,"All
        insights",#,
Capabilities.html,/Capabilities,Read,#,insight-readlink
Capabilities.html,/Capabilities,Read,#,insight-readlink
Capabilities.html,/Capabilities,Read,#,insight-readlink
Capabilities.html,/Capabilities,Speak to our team  →,#,
Capabilities.html,/Capabilities,Start the conversation,#contact,cta-btn cta-band-btn
Our_Focus.html,/Our_Focus,Explore Modernization →,#,solution-link
Our_Focus.html,/Our_Focus,Explore Cloud Engineering →,#,solution-link
Our_Focus.html,/Our_Focus,Learn About Teams-as-a-Service →,#,solution-link
Our_Focus.html,/Our_Focus,Get Started,#consultation,em-cta
Our_Focus.html,/Our_Focus,"Modernization Hub 
           Core &amp; Legacy Modernization",#,
Our_Focus.html,/Our_Focus,"Cloud CoE 
           Cloud Transformation &amp; Continuous Modernization",#,
Our_Focus.html,/Our_Focus,"AI Accelerators 
           Enterprise AI Enablement",#,
Our_Focus.html,/Our_Focus,"Intelligent Ops 
           Digital Operations",#,
Our_Focus.html,/Our_Focus,"All
        insights",#,
Our_Focus.html,/Our_Focus,Read,#,insight-readlink
Our_Focus.html,/Our_Focus,Read,#,insight-readlink
Our_Focus.html,/Our_Focus,Read,#,insight-readlink
Our_Focus.html,/Our_Focus,Speak to our team  →,#,
Our_Focus.html,/Our_Focus,Start the conversation,#contact,cta-btn cta-band-btn
Solutions.html,/Solutions,"AI Lab 
           Managed Platform Operations",#,
Solutions.html,/Solutions,"CoEs 
           Continuous Modernisation Factory",#,
Solutions.html,/Solutions,"Accelerators 
           Managed SNOW Operations",#,
Solutions.html,/Solutions,"All
        insights",#,
Solutions.html,/Solutions,Read,#,insight-readlink
Solutions.html,/Solutions,Read,#,insight-readlink
Solutions.html,/Solutions,Read,#,insight-readlink
Solutions.html,/Solutions,Speak to our team  →,#,
Solutions.html,/Solutions,Start the conversation,#contact,cta-btn cta-band-btn
about/who-we-are/index.html,/about/who-we-are,Talk to us,index.html#contact,btn-p
about/who-we-are/index.html,/about/who-we-are,Back to Home,index.html,btn-g
about/who-we-are/index.html,/about/who-we-are,Get in touch,index.html#contact,btn-p
about/who-we-are/index.html,/about/who-we-are,← Homepage,index.html,dummy-nav-link
about/who-we-are/index.html,/about/who-we-are,What we Solve,what-we-solve.html,dummy-nav-link
about/who-we-are/index.html,/about/who-we-are,How we Do it,how-we-do-it.html,dummy-nav-link
about/who-we-are/index.html,/about/who-we-are,How we Deliver,how-we-deliver.html,dummy-nav-link
about/who-we-are/index.html,/about/who-we-are,AI &amp; Innovation,ai-innovation.html,dummy-nav-link
about/who-we-are/index.html,/about/who-we-are,Industries,industries.html,dummy-nav-link
about/who-we-are/index.html,/about/who-we-are,Partner Ecosystem,partner-ecosystem.html,dummy-nav-link
about/who-we-are/index.html,/about/who-we-are,About,about.html,dummy-nav-link
about-leadership/index.html,/about-leadership,Talk to us,index.html#contact,btn-p
about-leadership/index.html,/about-leadership,Back to Home,index.html,btn-g
about-leadership/index.html,/about-leadership,Get in touch,index.html#contact,btn-p
about-leadership/index.html,/about-leadership,← Homepage,index.html,dummy-nav-link
about-leadership/index.html,/about-leadership,What we Solve,what-we-solve.html,dummy-nav-link
about-leadership/index.html,/about-leadership,How we Do it,how-we-do-it.html,dummy-nav-link
about-leadership/index.html,/about-leadership,How we Deliver,how-we-deliver.html,dummy-nav-link
about-leadership/index.html,/about-leadership,AI &amp; Innovation,ai-innovation.html,dummy-nav-link
about-leadership/index.html,/about-leadership,Industries,industries.html,dummy-nav-link
about-leadership/index.html,/about-leadership,Partner Ecosystem,partner-ecosystem.html,dummy-nav-link
about-leadership/index.html,/about-leadership,About,about.html,dummy-nav-link
about.html,/about,Talk to us,index.html#contact,btn-p
about.html,/about,Back to Home,index.html,btn-g
about.html,/about,Get in touch,index.html#contact,btn-p
about.html,/about,← Homepage,index.html,dummy-nav-link
about.html,/about,What we Solve,what-we-solve.html,dummy-nav-link
